id,workspace_slug,category,title,our_need,example_response,expected_document,status
2c594ab1-5009-46cc-8dec-96123efc1631,jondo,Products & Quality Assurance,"Branded gift box, gift card and insert options","What we need
Please confirm available gift box, gift card, branded insert and company-branded packaging options. Include price, process, MOQ, lead time and required assets.

Why this matters
Packaging and gifting options are important for customer experience and brand consistency.

Example / expected format
Gift box: $X per unit, MOQ 500, 15-day setup. Gift card: PDF template required, printed in black/white or color.","Gift box: $X per unit, MOQ 500, 15-day setup. Gift card: PDF template required, printed in black/white or color.",Attach supporting document or sample if available.,Waiting Supplier
52a46a35-72a9-44f7-b9f5-7db01e1d535a,shineon,Products & Quality Assurance,"Branded gift box, gift card and insert options","What we need
Please confirm available gift box, gift card, branded insert and company-branded packaging options. Include price, process, MOQ, lead time and required assets.

Why this matters
Packaging and gifting options are important for customer experience and brand consistency.

Example / expected format
Gift box: $X per unit, MOQ 500, 15-day setup. Gift card: PDF template required, printed in black/white or color.","Gift box: $X per unit, MOQ 500, 15-day setup. Gift card: PDF template required, printed in black/white or color.",Attach supporting document or sample if available.,Waiting Supplier
a7c81c96-7820-4923-88f3-1917967bfb70,jondo,Catalog Feed & Product Data,Product feed format and sample file,"What we need
Please provide the product feed format, a sample file, update frequency, owner and process for correcting feed errors.

Why this matters
Accurate product data is required for integration, product launch and ongoing maintenance.

Example / expected format
CSV or XML feed sent daily at 06:00 UTC. Sample includes SKU, title, variants, images, price, production time and availability.","CSV or XML feed sent daily at 06:00 UTC. Sample includes SKU, title, variants, images, price, production time and availability.",Attach supporting document or sample if available.,Waiting Supplier
e0f58878-3e26-4b9c-90fc-41dd65b6e955,shineon,Catalog Feed & Product Data,Product feed format and sample file,"What we need
Please provide the product feed format, a sample file, update frequency, owner and process for correcting feed errors.

Why this matters
Accurate product data is required for integration, product launch and ongoing maintenance.

Example / expected format
CSV or XML feed sent daily at 06:00 UTC. Sample includes SKU, title, variants, images, price, production time and availability.","CSV or XML feed sent daily at 06:00 UTC. Sample includes SKU, title, variants, images, price, production time and availability.",Attach supporting document or sample if available.,Waiting Supplier
f440c16f-a3cd-42ec-99e2-866329d4108f,jondo,Catalog Feed & Product Data,Mandatory product attributes,"What we need
Please provide the full list of mandatory product attributes required for each SKU and variant.

Why this matters
Missing attributes create integration issues, incorrect product pages and operational errors.

Example / expected format
Required fields: SKU, product title, variant title, dimensions, weight, materials, personalization fields, production time, images, shipping restrictions.","Required fields: SKU, product title, variant title, dimensions, weight, materials, personalization fields, production time, images, shipping restrictions.",Attach supporting document or sample if available.,Waiting Supplier
6c5bc2a7-e1e0-48f2-bbeb-f654d3e2f3fb,shineon,Catalog Feed & Product Data,Mandatory product attributes,"What we need
Please provide the full list of mandatory product attributes required for each SKU and variant.

Why this matters
Missing attributes create integration issues, incorrect product pages and operational errors.

Example / expected format
Required fields: SKU, product title, variant title, dimensions, weight, materials, personalization fields, production time, images, shipping restrictions.","Required fields: SKU, product title, variant title, dimensions, weight, materials, personalization fields, production time, images, shipping restrictions.",Attach supporting document or sample if available.,Waiting Supplier
286df9a4-dd7a-42a1-aea4-d8c4c56b502d,jondo,Catalog Feed & Product Data,Image and media specifications,"What we need
Please provide image and media specifications: format, size, naming convention, lifestyle images, mockups, thumbnails and restrictions by product type.

Why this matters
Consistent media rules are required for product pages, catalog integration and customer experience.

Example / expected format
Main image: JPG/PNG, 2000x2000, white background. Lifestyle images: optional. File naming: SKU_variant_angle.jpg.","Main image: JPG/PNG, 2000x2000, white background. Lifestyle images: optional. File naming: SKU_variant_angle.jpg.",Attach supporting document or sample if available.,Waiting Supplier
761ab40c-a8b0-4df3-9152-50c7e164b7b9,shineon,Catalog Feed & Product Data,Image and media specifications,"What we need
Please provide image and media specifications: format, size, naming convention, lifestyle images, mockups, thumbnails and restrictions by product type.

Why this matters
Consistent media rules are required for product pages, catalog integration and customer experience.

Example / expected format
Main image: JPG/PNG, 2000x2000, white background. Lifestyle images: optional. File naming: SKU_variant_angle.jpg.","Main image: JPG/PNG, 2000x2000, white background. Lifestyle images: optional. File naming: SKU_variant_angle.jpg.",Attach supporting document or sample if available.,Waiting Supplier
8c2360bd-1de6-4ea6-8d8f-ce7a37f43613,jondo,Pricing & Commercial Terms,Wholesale price list,"What we need
Please provide the complete wholesale price list including product cost, personalization cost, packaging cost, shipping cost and any additional operational fees.

Why this matters
Transparent pricing is required to validate margins, customer pricing and finance reconciliation.

Example / expected format
SKU | Product cost | Personalization cost | Gift box cost | Standard shipping | Express shipping | Currency",SKU | Product cost | Personalization cost | Gift box cost | Standard shipping | Express shipping | Currency,Attach supporting document or sample if available.,Waiting Supplier
ab14c1cb-2985-46f3-bc9d-c4a82d48b40e,shineon,Pricing & Commercial Terms,Wholesale price list,"What we need
Please provide the complete wholesale price list including product cost, personalization cost, packaging cost, shipping cost and any additional operational fees.

Why this matters
Transparent pricing is required to validate margins, customer pricing and finance reconciliation.

Example / expected format
SKU | Product cost | Personalization cost | Gift box cost | Standard shipping | Express shipping | Currency",SKU | Product cost | Personalization cost | Gift box cost | Standard shipping | Express shipping | Currency,Attach supporting document or sample if available.,Waiting Supplier
1d4c47c6-e50c-4a6e-9bd6-e270d63fc306,jondo,Pricing & Commercial Terms,Discount and volume structure,"What we need
Please provide volume discount tiers, discount rules and any specific commercial agreement that may apply.

Why this matters
We need to understand how pricing evolves with volume and how discounts are applied in invoices.

Example / expected format
0-500 orders: $X
501-1000 orders: $Y
1000+ orders: $Z
Discount reviewed monthly/quarterly","0-500 orders: $X
501-1000 orders: $Y
1000+ orders: $Z
Discount reviewed monthly/quarterly",Attach supporting document or sample if available.,Waiting Supplier
6651b1e8-0044-449a-8f43-10e64fbe9015,shineon,Pricing & Commercial Terms,Discount and volume structure,"What we need
Please provide volume discount tiers, discount rules and any specific commercial agreement that may apply.

Why this matters
We need to understand how pricing evolves with volume and how discounts are applied in invoices.

Example / expected format
0-500 orders: $X
501-1000 orders: $Y
1000+ orders: $Z
Discount reviewed monthly/quarterly","0-500 orders: $X
501-1000 orders: $Y
1000+ orders: $Z
Discount reviewed monthly/quarterly",Attach supporting document or sample if available.,Waiting Supplier
01ae870f-48ab-4173-978c-dcfc644feeb6,jondo,Pricing & Commercial Terms,Price change notification process,"What we need
Please explain your price change process: notice period, approval flow, effective date and how existing orders are handled.

Why this matters
Uncontrolled price changes create margin and invoice issues.

Example / expected format
Supplier sends notice 30 days before change → Tenengroup approval → effective date confirmed → existing orders keep previous price.",Supplier sends notice 30 days before change → Tenengroup approval → effective date confirmed → existing orders keep previous price.,Attach supporting document or sample if available.,Waiting Supplier
b338f8c4-cc42-4823-a0c1-e270173e082b,shineon,Pricing & Commercial Terms,Price change notification process,"What we need
Please explain your price change process: notice period, approval flow, effective date and how existing orders are handled.

Why this matters
Uncontrolled price changes create margin and invoice issues.

Example / expected format
Supplier sends notice 30 days before change → Tenengroup approval → effective date confirmed → existing orders keep previous price.",Supplier sends notice 30 days before change → Tenengroup approval → effective date confirmed → existing orders keep previous price.,Attach supporting document or sample if available.,Waiting Supplier
1b05f18e-8a20-4c20-944a-92cad30394f2,jondo,Branding & White Label Capabilities,Neutral and branded packaging options,"What we need
Please describe all neutral, branded and white-label packaging options and any limitation.

Why this matters
The customer should experience our brand, not the supplier brand, unless explicitly approved.

Example / expected format
Neutral mailer with no supplier logo. Optional branded box available with MOQ and setup cost.",Neutral mailer with no supplier logo. Optional branded box available with MOQ and setup cost.,Attach supporting document or sample if available.,Waiting Supplier
c98e547c-d41b-4146-8866-94ffcf733389,shineon,Branding & White Label Capabilities,Neutral and branded packaging options,"What we need
Please describe all neutral, branded and white-label packaging options and any limitation.

Why this matters
The customer should experience our brand, not the supplier brand, unless explicitly approved.

Example / expected format
Neutral mailer with no supplier logo. Optional branded box available with MOQ and setup cost.",Neutral mailer with no supplier logo. Optional branded box available with MOQ and setup cost.,Attach supporting document or sample if available.,Waiting Supplier
23193060-e22e-471f-9541-51c0fec59eb2,jondo,Branding & White Label Capabilities,Packing slip and insert rules,"What we need
Please explain packing slip, gift card, marketing insert and package insert rules. Confirm what can be customized and what must be supplied by us.

Why this matters
Incorrect inserts or supplier branding can damage customer experience and brand consistency.

Example / expected format
Packing slip: no price, no supplier logo. Insert: Tenengroup provides artwork PDF, supplier prints and inserts.","Packing slip: no price, no supplier logo. Insert: Tenengroup provides artwork PDF, supplier prints and inserts.",Attach supporting document or sample if available.,Waiting Supplier
1d2456d6-dc73-410b-a6b0-d0d458338d26,shineon,Branding & White Label Capabilities,Packing slip and insert rules,"What we need
Please explain packing slip, gift card, marketing insert and package insert rules. Confirm what can be customized and what must be supplied by us.

Why this matters
Incorrect inserts or supplier branding can damage customer experience and brand consistency.

Example / expected format
Packing slip: no price, no supplier logo. Insert: Tenengroup provides artwork PDF, supplier prints and inserts.","Packing slip: no price, no supplier logo. Insert: Tenengroup provides artwork PDF, supplier prints and inserts.",Attach supporting document or sample if available.,Waiting Supplier
b2618c8e-558a-4049-9ed8-0e609cc0d16f,jondo,Branding & White Label Capabilities,Branding restrictions,"What we need
Please list any branding restrictions, required supplier branding, marketplace limitations, legal restrictions or claims that cannot be used.

Why this matters
We need to avoid brand, legal or compliance issues before launch.

Example / expected format
Supplier logo appears: yes/no. Restricted words: warranty, hypoallergenic, handmade. Country restrictions: X/Y/Z.","Supplier logo appears: yes/no. Restricted words: warranty, hypoallergenic, handmade. Country restrictions: X/Y/Z.",Attach supporting document or sample if available.,Waiting Supplier
117ab9b8-f6af-44a4-a851-12a5724f0ad9,shineon,Branding & White Label Capabilities,Branding restrictions,"What we need
Please list any branding restrictions, required supplier branding, marketplace limitations, legal restrictions or claims that cannot be used.

Why this matters
We need to avoid brand, legal or compliance issues before launch.

Example / expected format
Supplier logo appears: yes/no. Restricted words: warranty, hypoallergenic, handmade. Country restrictions: X/Y/Z.","Supplier logo appears: yes/no. Restricted words: warranty, hypoallergenic, handmade. Country restrictions: X/Y/Z.",Attach supporting document or sample if available.,Waiting Supplier
8bd94ea1-7bd2-4e6c-a8fa-5bdfec6b132e,jondo,Inventory Management,Inventory sync process,"What we need
Please explain how inventory is synchronized, update frequency, data format, ownership and what happens if the sync fails.

Why this matters
Inventory visibility prevents overselling, cancellations and customer disappointment.

Example / expected format
Inventory feed updates every 2 hours. If feed fails, supplier notifies Tenengroup within 1 hour and blocks affected SKUs.","Inventory feed updates every 2 hours. If feed fails, supplier notifies Tenengroup within 1 hour and blocks affected SKUs.",Attach supporting document or sample if available.,Waiting Supplier
07b54987-3fb3-4a7d-b43a-84ea2de3f686,shineon,Inventory Management,Inventory sync process,"What we need
Please explain how inventory is synchronized, update frequency, data format, ownership and what happens if the sync fails.

Why this matters
Inventory visibility prevents overselling, cancellations and customer disappointment.

Example / expected format
Inventory feed updates every 2 hours. If feed fails, supplier notifies Tenengroup within 1 hour and blocks affected SKUs.","Inventory feed updates every 2 hours. If feed fails, supplier notifies Tenengroup within 1 hour and blocks affected SKUs.",Attach supporting document or sample if available.,Waiting Supplier
20f274cf-b0c4-4ab9-a6bb-52c6dfdf2340,jondo,Inventory Management,Out-of-stock handling,"What we need
Please explain the out-of-stock process: notification timing, order blocking, alternatives, substitution rules and customer protection.

Why this matters
We must avoid selling products that cannot be fulfilled.

Example / expected format
SKU out of stock → notify within 2 hours → product paused → affected orders listed → alternative SKU proposed if available.",SKU out of stock → notify within 2 hours → product paused → affected orders listed → alternative SKU proposed if available.,Attach supporting document or sample if available.,Waiting Supplier
9969aeeb-27cb-4488-878b-dc84c4809bc2,shineon,Inventory Management,Out-of-stock handling,"What we need
Please explain the out-of-stock process: notification timing, order blocking, alternatives, substitution rules and customer protection.

Why this matters
We must avoid selling products that cannot be fulfilled.

Example / expected format
SKU out of stock → notify within 2 hours → product paused → affected orders listed → alternative SKU proposed if available.",SKU out of stock → notify within 2 hours → product paused → affected orders listed → alternative SKU proposed if available.,Attach supporting document or sample if available.,Waiting Supplier
8f55b2af-988b-4e73-80c4-4d2cd17fbf5f,jondo,Inventory Management,Safety stock rules,"What we need
Please explain safety stock rules and how stock is protected during peak periods.

Why this matters
Peak periods require additional protection to avoid overselling and late orders.

Example / expected format
Minimum safety stock: 10% of forecast. Peak safety stock: 20%. Replenishment trigger: 7 days before stockout.",Minimum safety stock: 10% of forecast. Peak safety stock: 20%. Replenishment trigger: 7 days before stockout.,Attach supporting document or sample if available.,Waiting Supplier
941764ec-5ac8-416f-9e6f-659a6b1e0432,shineon,Inventory Management,Safety stock rules,"What we need
Please explain safety stock rules and how stock is protected during peak periods.

Why this matters
Peak periods require additional protection to avoid overselling and late orders.

Example / expected format
Minimum safety stock: 10% of forecast. Peak safety stock: 20%. Replenishment trigger: 7 days before stockout.",Minimum safety stock: 10% of forecast. Peak safety stock: 20%. Replenishment trigger: 7 days before stockout.,Attach supporting document or sample if available.,Waiting Supplier
9890b2dc-edaf-4ea8-bf51-608d0000dab3,jondo,Fulfillment & Production Management,Production workflow,"What we need
Please describe the full production workflow from order reception to shipment, including steps, checkpoints, responsibilities, cutoffs and exception handling.

Why this matters
This is critical to understand where delays may occur and how they are managed before they impact customers.

Example / expected format
Order received → personalization validation → production → quality control → packaging → shipping label → carrier handoff.",Order received → personalization validation → production → quality control → packaging → shipping label → carrier handoff.,Attach supporting document or sample if available.,Waiting Supplier
4b492aba-f749-4b18-9a4a-f161f7cdb994,shineon,Fulfillment & Production Management,Production workflow,"What we need
Please describe the full production workflow from order reception to shipment, including steps, checkpoints, responsibilities, cutoffs and exception handling.

Why this matters
This is critical to understand where delays may occur and how they are managed before they impact customers.

Example / expected format
Order received → personalization validation → production → quality control → packaging → shipping label → carrier handoff.",Order received → personalization validation → production → quality control → packaging → shipping label → carrier handoff.,Attach supporting document or sample if available.,Waiting Supplier
c2869514-c6a3-4c0c-bde7-e9206645e826,jondo,Fulfillment & Production Management,Production SLA by order type,"What we need
Please provide production SLA by order type: standard, personalized, peak season, reorders and urgent cases.

Why this matters
We need clear production commitments for customer communication and SLA monitoring.

Example / expected format
Standard: 2 business days. Personalized: 3 business days. Peak season: 4 business days. Reorder: 1-2 business days.",Standard: 2 business days. Personalized: 3 business days. Peak season: 4 business days. Reorder: 1-2 business days.,Attach supporting document or sample if available.,Waiting Supplier
7c5713be-0f03-4eab-b0d1-0a7ddd5b682b,shineon,Fulfillment & Production Management,Production SLA by order type,"What we need
Please provide production SLA by order type: standard, personalized, peak season, reorders and urgent cases.

Why this matters
We need clear production commitments for customer communication and SLA monitoring.

Example / expected format
Standard: 2 business days. Personalized: 3 business days. Peak season: 4 business days. Reorder: 1-2 business days.",Standard: 2 business days. Personalized: 3 business days. Peak season: 4 business days. Reorder: 1-2 business days.,Attach supporting document or sample if available.,Waiting Supplier
08fcdf73-27f5-4658-8303-541332a6b08e,jondo,Fulfillment & Production Management,Daily late order report covering 100% of late orders,"What we need
Please confirm how you will provide a daily report covering 100% of orders late against production SLA. The report must include order ID, delay reason, new deadline, shipping method and upgrade status.

Why this matters
A partial report is not useful. We need full visibility to manage customers and compensation.

Example / expected format
Order #12345 | SLA ship date: May 10 | New ship date: May 11 | Reason: material delay | Upgrade: Express",Order #12345 | SLA ship date: May 10 | New ship date: May 11 | Reason: material delay | Upgrade: Express,Attach supporting document or sample if available.,Waiting Supplier
4c8cf1f1-3598-4121-9b91-dac578c73101,shineon,Fulfillment & Production Management,Daily late order report covering 100% of late orders,"What we need
Please confirm how you will provide a daily report covering 100% of orders late against production SLA. The report must include order ID, delay reason, new deadline, shipping method and upgrade status.

Why this matters
A partial report is not useful. We need full visibility to manage customers and compensation.

Example / expected format
Order #12345 | SLA ship date: May 10 | New ship date: May 11 | Reason: material delay | Upgrade: Express",Order #12345 | SLA ship date: May 10 | New ship date: May 11 | Reason: material delay | Upgrade: Express,Attach supporting document or sample if available.,Waiting Supplier
bf3e03c7-1b68-4fbb-a042-70dccb907370,jondo,Fulfillment & Production Management,Day 1 late supplier process,"What we need
Please confirm the process when an order is 1 day late: flagging, reason, owner and plan to ship the next day.

Why this matters
Day 1 late orders must be identified immediately so we can manage customer communication.

Example / expected format
Tag: Late Supplier. Reason: QC issue. New ship date: D+1. Owner: Production manager.",Tag: Late Supplier. Reason: QC issue. New ship date: D+1. Owner: Production manager.,Attach supporting document or sample if available.,Waiting Supplier
f5888e2f-f762-472a-81f2-8bf1f0a27b7e,shineon,Fulfillment & Production Management,Day 1 late supplier process,"What we need
Please confirm the process when an order is 1 day late: flagging, reason, owner and plan to ship the next day.

Why this matters
Day 1 late orders must be identified immediately so we can manage customer communication.

Example / expected format
Tag: Late Supplier. Reason: QC issue. New ship date: D+1. Owner: Production manager.",Tag: Late Supplier. Reason: QC issue. New ship date: D+1. Owner: Production manager.,Attach supporting document or sample if available.,Waiting Supplier
64315398-756c-412e-814d-b1d6ba4fcf19,jondo,Fulfillment & Production Management,Day 2+ late process with automatic shipping upgrade,"What we need
Please confirm the process when an order is 2+ days late. We expect a detailed reason, new confirmed deadline and automatic shipping upgrade at supplier expense. If the order already uses the most expensive method, shipping fees should be refunded.

Why this matters
Longer production delays require immediate recovery action and compensation.

Example / expected format
Order late 2 days → root cause shared → new ship date confirmed → shipping upgraded to Express at supplier cost.",Order late 2 days → root cause shared → new ship date confirmed → shipping upgraded to Express at supplier cost.,Attach supporting document or sample if available.,Waiting Supplier
43db24c5-ea39-4f94-91fa-cdb9ade13e31,shineon,Fulfillment & Production Management,Day 2+ late process with automatic shipping upgrade,"What we need
Please confirm the process when an order is 2+ days late. We expect a detailed reason, new confirmed deadline and automatic shipping upgrade at supplier expense. If the order already uses the most expensive method, shipping fees should be refunded.

Why this matters
Longer production delays require immediate recovery action and compensation.

Example / expected format
Order late 2 days → root cause shared → new ship date confirmed → shipping upgraded to Express at supplier cost.",Order late 2 days → root cause shared → new ship date confirmed → shipping upgraded to Express at supplier cost.,Attach supporting document or sample if available.,Waiting Supplier
70fc3152-cb07-41b2-afa6-b3aa2a92f67d,jondo,Fulfillment & Production Management,Peak season production capacity,"What we need
Please provide your production capacity plan for peak periods: Valentine’s Day, Mother’s Day, Father’s Day, Christmas, Black Friday and Cyber Monday.

Why this matters
Peak periods create high volume and delivery-risk exposure. We need proof that capacity and escalation are ready.

Example / expected format
Normal capacity: 1,000/day. Peak capacity: 2,500/day. Extra shifts: yes. Temporary staff: yes. Peak command center: yes.","Normal capacity: 1,000/day. Peak capacity: 2,500/day. Extra shifts: yes. Temporary staff: yes. Peak command center: yes.",Attach supporting document or sample if available.,Waiting Supplier
16714d9b-3565-42f1-b292-8f9c2dcb29ae,shineon,Fulfillment & Production Management,Peak season production capacity,"What we need
Please provide your production capacity plan for peak periods: Valentine’s Day, Mother’s Day, Father’s Day, Christmas, Black Friday and Cyber Monday.

Why this matters
Peak periods create high volume and delivery-risk exposure. We need proof that capacity and escalation are ready.

Example / expected format
Normal capacity: 1,000/day. Peak capacity: 2,500/day. Extra shifts: yes. Temporary staff: yes. Peak command center: yes.","Normal capacity: 1,000/day. Peak capacity: 2,500/day. Extra shifts: yes. Temporary staff: yes. Peak command center: yes.",Attach supporting document or sample if available.,Waiting Supplier
1ad3292e-f790-496d-a526-d27735315115,jondo,Shipping Management,Shipping method matrix by country and factory,"What we need
Please provide a shipping method matrix by country, factory and speed, ordered from fastest to slowest with availability limits.

Why this matters
We need to choose the correct shipping promise and identify upgrade options.

Example / expected format
Country | Factory | Method | Carrier | Transit time | Available yes/no | Restrictions",Country | Factory | Method | Carrier | Transit time | Available yes/no | Restrictions,Attach supporting document or sample if available.,Waiting Supplier
a868a1b6-b247-4307-9112-28e99fab6f4c,shineon,Shipping Management,Shipping method matrix by country and factory,"What we need
Please provide a shipping method matrix by country, factory and speed, ordered from fastest to slowest with availability limits.

Why this matters
We need to choose the correct shipping promise and identify upgrade options.

Example / expected format
Country | Factory | Method | Carrier | Transit time | Available yes/no | Restrictions",Country | Factory | Method | Carrier | Transit time | Available yes/no | Restrictions,Attach supporting document or sample if available.,Waiting Supplier
b12e7f61-d3f3-4b0c-8372-bab34cbf5440,jondo,Shipping Management,Shipping cost matrix,"What we need
Please provide shipping costs by method, country, factory and surcharge rules.

Why this matters
Shipping cost must be transparent for pricing, upgrades and compensation.

Example / expected format
US Standard: $X, 5-7 days. US Express: $Y, 1-3 days. Remote area surcharge: $Z.","US Standard: $X, 5-7 days. US Express: $Y, 1-3 days. Remote area surcharge: $Z.",Attach supporting document or sample if available.,Waiting Supplier
8c758320-337b-484e-9f8c-de44da3e051c,shineon,Shipping Management,Shipping cost matrix,"What we need
Please provide shipping costs by method, country, factory and surcharge rules.

Why this matters
Shipping cost must be transparent for pricing, upgrades and compensation.

Example / expected format
US Standard: $X, 5-7 days. US Express: $Y, 1-3 days. Remote area surcharge: $Z.","US Standard: $X, 5-7 days. US Express: $Y, 1-3 days. Remote area surcharge: $Z.",Attach supporting document or sample if available.,Waiting Supplier
